sample_number,ID,species_or_type,sample_date,plot_name,phenophase,fractional_cover_class,Notes,geology,plot_type,LWC,CFR,chl_area,LMA,area(m2),LWC(mol.m-2),nitrogen,phosphorus,magnesium,potassium,calcium,sulfur,boron,iron,manganese,copper,zinc,aluminum,sodium,hemicellulose,cellulose,lignin,d13C,carbon,d15N,%N,phenolics,phenolics_%,sucrose_mg_g,glucose_mg_g,fructose_mg_g,sucrose_%,glucose_%,fructose_%,sugars,sugars_%,sample_month,pft
585,S150,Quercus lobata - Valley oak,4/8/2022,SRA-039,,,,QTp,Tree,51.87218162,,,143.9251724,0.021504925,8.610747019,23.5,2.54,3.09,10.2,17,1.54,22.4,64.9,434.2,6.2,22.8,21.7,140.6,227.6,130,102.4,,,2.55,2.37,93.3596,9.336,0.43,41.51,22.95,0.04,4.15,2.3,64.89,6.49,4,deciduous broadleaf
642,S814,Quercus lobata - Valley oak,4/21/2022,SRA-039,"Early leaf out, Full leaf out",50-75% cover,Ordway T43 LOB,QTp,Tree,48.96,1.32,44.7,143.2049,0.017884165,7.625784989,19.7,2.04,2.58,10.5,12.5,1.33,18.7,76.8,334.3,4.8,14.3,47.6,231,221.8,116,88.2,-23.54,524.7,-0.48,2.16,79.8561,7.9856,0,40.78,31.82,0,4.08,3.18,72.6,7.26,4,deciduous broadleaf
1033,S272,Quercus lobata - Valley oak,5/13/2022,SRA-039,,,,QTp,Tree,47.72057486,,,154.0746421,0.018651999,7.806776827,20.2,1.93,2.71,10.5,14.7,1.48,19.2,86.5,332.6,3.1,9.7,59.2,292.1,204.1,104,101.9,-25.26,516,1.07,2.32,83.9128,8.3913,1.75,14.12,23.21,0.18,1.41,2.32,39.08,3.91,5,deciduous broadleaf
1539,S405,Quercus lobata - Valley oak,9/16/2022,SRA-039,,,,QTp,Tree,,,,152.2652393,0.013278145,,15.5,2.28,4,9.7,24.4,1.78,51.6,242.2,439,4.9,14.1,265.2,685.2,187.7,114,116.3,-25.02,484.5,1.46,2.24,93.2985,9.3298,4.56,15.76,27.23,0.46,1.58,2.72,47.55,4.76,9,deciduous broadleaf
218,S21,Quercus agrifolia - Coast live oak,3/4/2022,SRA-040,,,,QTp,Tree,,,,,,,16.2,4.54,3.12,22.3,3.9,1.99,24.8,76.8,72.7,9.5,26.7,44.5,4774.7,218,210,116,-24.33,529.9,-0.24,1.67,75.198,7.5198,34.24,27.66,13.48,3.42,2.77,1.35,75.38,7.54,3,evergreen broadleaf
256,S77,Quercus agrifolia - Coast live oak,3/11/2022,SRA-040,,,,QTp,Tree,,,,223.9178662,0.006525607,,16,1.4,2.69,3.8,5.2,1.24,56,111.6,981.6,3.8,23.9,104.6,144.7,204.1,234,133.9,,,,,59.7839,5.9784,16.67,15.81,14.48,1.67,1.58,1.45,46.96,4.7,3,evergreen broadleaf
272,S101,Quercus agrifolia - Coast live oak,3/16/2022,SRA-040,,,,QTp,Tree,40.03541913,,,246.0977264,0.006191443,9.120589553,14.4,1.43,2.68,4.4,4.6,1.14,19,95,394.5,4.8,20.7,90.9,126.2,216,224,112,,,,,59.8132,5.9813,15.45,13,11.57,1.55,1.3,1.16,40.02,4.01,3,evergreen broadleaf
581,S144,Quercus agrifolia - Coast live oak,4/8/2022,SRA-040,,,,QTp,Tree,57.85714286,,,163.0901189,0.005607329,12.4287196,17.5,1.98,2.31,6.4,3.3,1.22,18.6,73.5,418.5,5.4,26.3,59.8,118.3,205.9,182,112.1,-23.34,520.7,0.38,1.71,109.2782,10.9278,3.16,14.85,7.67,0.32,1.49,0.77,25.68,2.58,4,evergreen broadleaf
823,S823,Quercus agrifolia - Coast live oak,4/21/2022,SRA-040,,,Elsa T12,QTp,Tree,47.36,1.47,53.9,188.9387,0.009988425,9.435290103,12.8,1.61,2.12,4.6,3.5,0.99,9.3,70.5,247.6,3.1,20.1,53.8,130.6,243.9,192,104.1,-23.29,529.1,-0.14,1.55,73.7949,7.3795,7.03,18,12.6,0.7,1.8,1.26,37.63,3.76,4,evergreen broadleaf
894,S201,Quercus agrifolia - Coast live oak,4/29/2022,SRA-040,,,,QTp,Tree,43.40379235,,,227.8476525,0.007990866,9.69952882,12.8,1.95,2.02,5.4,3,1.06,7.9,55.4,191.7,11.5,21.4,43.8,107.2,237.9,216,106.1,-24.84,526.7,-1.49,1.41,65.8087,6.5809,1.13,15.53,14.09,0.11,1.55,1.41,30.75,3.07,4,evergreen broadleaf
920,S823,Quercus agrifolia - Coast live oak,4/21/2022,SRA-040,Full leaf out,75-100% cover,,QTp,Tree,46.89,1.37,47.8,202.9858,0.007433032,9.948764372,13.4,1.5,2.04,5.2,3.1,0.95,10.8,50.9,211.6,13,18.3,39.3,94.1,236.1,206,113.9,-24.65,531.9,-0.85,1.56,67.1072,6.7107,1.77,12.84,10.24,0.18,1.28,1.02,24.85,2.48,4,evergreen broadleaf
937,S236,Quercus agrifolia - Coast live oak,5/13/2022,SRA-040,,,,QTp,Tree,44.13419044,,,215.757833,0.006444725,9.461530053,15.6,1.63,2.1,6.2,3.5,1.09,10.6,54,322.8,3,19.4,37.8,103.1,200,238,132,,,-0.1,1.63,51.5977,5.1598,5.66,25.72,18.32,0.57,2.57,1.83,49.7,4.97,5,evergreen broadleaf
967,S249,Quercus agrifolia - Coast live oak,5/5/2022,SRA-040,,,,QTp,Tree,45.73123909,,,193.5228876,0.008034192,9.05234573,10.2,1.59,1.66,7.2,2.5,1.06,15,54.1,359.4,3.9,20.1,37.5,100.4,243.9,218,126.1,-24.58,542.4,0.47,1.66,65.6584,6.5658,6.87,23.58,18.7,0.69,2.36,1.87,49.15,4.92,5,evergreen broadleaf
1199,S330,Quercus agrifolia - Coast live oak,5/19/2022,SRA-040,,,,QTp,Tree,,,,222.6739936,0.004941754,,13.6,1.4,2.22,5.5,3.2,1.2,17.9,94.9,349.7,3.6,20.9,73,120.2,200.1,240,121.9,-24.01,517.6,-0.01,1.67,76.0934,7.6093,10.32,14.12,10.96,1.03,1.41,1.1,35.4,3.54,5,evergreen broadleaf
1322,S336,Quercus agrifolia - Coast live oak,5/26/2022,SRA-040,,,,QTp,Tree,45.52607914,,,216.4012149,0.005598397,10.03915227,14.6,1.59,2.09,5.3,2.8,1.06,7.7,157.3,204.7,14.3,26.5,161.1,224.2,190,252,126,-23.01,510.5,-0.62,1.58,78.7536,7.8754,4.51,13.1,11.75,0.45,1.31,1.17,29.36,2.93,5,evergreen broadleaf
1537,S402,Quercus agrifolia - Coast live oak,9/16/2022,SRA-040,,,,QTp,Tree,,,,244.7877008,0.006408819,,9.2,1.13,2.62,3.8,4,0.92,13.1,181,289.1,2.1,24.8,208,286.9,223.8,224,118.2,-24.26,518.1,-0.21,1.52,100.4226,10.0423,12.08,17.09,15.99,1.21,1.71,1.6,45.16,4.52,9,evergreen broadleaf
217,S20,Quercus agrifolia - Coast live oak,3/4/2022,SRA-041,,,,QTp,Tree,,,,,,,17.1,1.18,6.29,9.3,17.9,0.63,18,20.2,606.7,0,6.2,51.7,34657.4,214.1,178,107.9,-24.25,508.1,-1.46,1.65,87.4369,8.7437,24.69,29.39,13.79,2.47,2.94,1.38,67.87,6.79,3,evergreen broadleaf
253,S74,Quercus agrifolia - Coast live oak,3/11/2022,SRA-041,,,,QTp,Tree,43.34985543,,,203.9077819,0.00672608,8.661361496,14.7,1.35,3.53,4.5,8.2,1.44,21.7,241.6,451.4,4.6,12.4,244.8,287.2,210.2,194,117.8,,,,,73.3944,7.3394,9,12.35,11.6,0.9,1.24,1.16,32.95,3.3,3,evergreen broadleaf
270,S98,Quercus agrifolia - Coast live oak,3/16/2022,SRA-041,,,,QTp,Tree,44.56547857,,,204.2549377,0.006776825,9.114997832,15.9,1.02,4.15,4.6,10.2,1.21,22.7,172.5,600.7,4.6,12.8,154.3,273.1,209.9,220,112.1,,,,,62.1869,6.2187,14.48,19.68,18.2,1.45,1.97,1.82,52.36,5.24,3,evergreen broadleaf
680,S188,Quercus agrifolia - Coast live oak,4/8/2022,SRA-041,,,,QTp,Tree,42.58064516,,,241.0415391,0.004578464,9.922281732,16.3,1.16,3.97,4.2,10.7,1.45,27.6,141.9,901.5,3.6,16.3,120.4,210.4,211.9,224,124.1,-23.29,505.9,-1.86,1.59,76.901,7.6901,1.22,11.97,34.01,0.12,1.2,3.4,47.2,4.72,4,evergreen broadleaf
822,S189,Quercus agrifolia - Coast live oak,4/21/2022,SRA-041,,,,QTp,Tree,41.94,1.58,61.1,213.9262,0.003034224,8.578242791,15.2,1.14,4.56,4.5,12.6,1.53,34.4,185.4,815.6,3.3,15.6,186,335.9,229.9,192,116.1,-24.65,526,-0.81,1.63,75.6968,7.5697,2.71,18.27,17.06,0.27,1.83,1.71,38.04,3.81,4,evergreen broadleaf
893,S200,Quercus agrifolia - Coast live oak,4/29/2022,SRA-041,,,,QTp,Tree,43.82991202,,,195.1772559,0.004906822,8.453964817,14.3,1.52,4.05,5.7,12.4,1.49,24.4,186,1057.1,13,19.8,171.3,369,211.9,188,124.1,-24.56,524.1,0.64,1.74,72.6712,7.2671,0.18,19.61,15.98,0.02,1.96,1.6,35.77,3.58,4,evergreen broadleaf
927,S222,Quercus agrifolia - Coast live oak,5/5/2022,SRA-041,,,,QTp,Tree,43.68902439,,,209.4510668,0.007054631,9.020437571,16.1,0.86,4.07,3.6,8.9,1.18,13.3,197.6,532.5,3,10.3,183.6,235.6,172,216,132,-23.74,505.8,-0.65,1.46,72.5423,7.2542,3.55,17.28,16.97,0.35,1.73,1.7,37.8,3.78,5,evergreen broadleaf
936,S234,Quercus agrifolia - Coast live oak,5/13/2022,SRA-041,,,,QTp,Tree,39.99206349,,,203.8285153,0.003709491,7.540424483,14.2,0.81,4.27,3.8,11.7,1.4,21.2,173.6,836.1,2.4,18.6,151.5,331.9,166.2,218,131.8,-24.81,528,-0.65,1.76,86.7953,8.6795,4.28,30.49,23.25,0.43,3.05,2.33,58.02,5.81,5,evergreen broadleaf
1191,S323,Quercus agrifolia - Coast live oak,5/19/2022,SRA-041,,,,QTp,Tree,33.72153209,,,164.0816442,0.007804042,4.634048449,14.3,0.79,4.23,4.2,10.5,1.49,35.9,232.8,586.2,2.3,11,243.6,426.7,183.9,218,130.1,-25.84,510.8,-0.36,1.4,65.1946,6.5195,1.86,20.57,124.21,0.19,2.06,12.42,146.64,14.67,5,evergreen broadleaf
1321,S335,Quercus agrifolia - Coast live oak,5/26/2022,SRA-041,,,,QTp,Tree,44.36227951,,,199.2049138,0.004116866,8.816786126,14.3,1.07,3.52,3.4,8,1.37,16.8,217.1,468.8,14.3,18.3,229.8,428.5,186.3,230,121.7,-23.28,516.2,-0.48,1.7,80.8598,8.086,4.46,16.97,15.23,0.45,1.7,1.52,36.66,3.67,5,evergreen broadleaf
1535,S399,Quercus agrifolia - Coast live oak,9/16/2022,SRA-041,,,,QTp,Tree,64.91374353,,,224.2588349,0.00544148,23.0311125,14.9,0.94,4.15,4,10.9,1.28,22.8,167.8,740.5,1.9,17.9,141.9,178.1,124,264,110,-24.16,509.2,-1.56,1.51,93.6373,9.3637,10.78,13.98,13.48,1.08,1.4,1.35,38.24,3.83,9,evergreen broadleaf
208,S8,Quercus agrifolia - Coast live oak,3/3/2022,SRA-042,,,,Qa,Tree,41.16145833,,,203.3212211,0.005556233,7.895457425,12.8,2.32,2.04,27.5,6.1,2.51,16.7,74.2,94.8,3.8,11.5,15.2,3784.8,209.9,196,108.1,-21.6,524.4,-4.53,1.2,63.8076,6.3808,35.15,12.43,7.36,3.51,1.24,0.74,54.94,5.49,3,evergreen broadleaf
238,S51,Quercus agrifolia - Coast live oak,3/11/2022,SRA-042,,,,Qa,Tree,42.8783902,,,187.9155041,0.006948868,7.830083273,12.8,0.78,1.96,9.8,8,0.92,53,80.6,179.9,3.2,7.7,95.8,149.1,193.9,246,98.1,-25.75,523.4,-2.48,1.18,80.7443,8.0744,18.83,10.76,12.69,1.88,1.08,1.27,42.28,4.23,3,evergreen broadleaf
267,S93,Quercus agrifolia - Coast live oak,3/16/2022,SRA-042,,,,Qa,Tree,41.08292683,,,209.4561808,0.005766361,8.107353799,11.9,0.87,1.98,8.9,10,0.95,55.5,155.9,360.7,3.2,10.1,168.3,203.4,199.8,234,104.2,,,,,50.0412,5.0041,16.86,8.48,8.62,1.69,0.85,0.86,33.96,3.4,3,evergreen broadleaf
273,S102,Quercus agrifolia - Coast live oak,3/25/2022,SRA-042,,,,Qa,Tree,42.61419536,,,195.7308258,0.004172056,8.068165143,13.2,0.85,2.15,9.8,10.1,0.97,50.8,141.3,327.6,2.8,8.4,146.2,197.5,181.9,244,118.1,,,,,,,,,,,,,,,3,evergreen broadleaf
587,S153,Quercus agrifolia - Coast live oak,4/8/2022,SRA-042,,,,Qa,Tree,43.75239006,,,225.2289038,0.005224463,9.72495422,12.4,0.94,2.09,9.7,9.9,0.93,53.6,92.4,356.7,1.7,10,93.6,180.1,196,232,120,-24.02,511.3,2.15,1.19,60.6686,6.0669,6.53,9.83,47.8,0.65,0.98,4.78,64.16,6.41,4,evergreen broadleaf
825,S192,Quercus agrifolia - Coast live oak,4/21/2022,SRA-042,,,,Qa,Tree,42.83,1.19,36.6,188.8678,0.005609214,7.853537931,10.4,1.06,1.76,9,7.6,0.84,43,75.9,277.8,1.4,8.1,78.7,144.3,199.8,224,112.2,-24.75,527,-1.48,1.25,60.5886,6.0589,17.67,13.04,10.04,1.77,1.3,1,40.75,4.07,4,evergreen broadleaf
897,S206,Quercus agrifolia - Coast live oak,4/29/2022,SRA-042,,,,Qa,Tree,40.54285714,,,193.7772234,0.004295654,7.334639576,11.8,0.85,2.11,5,9.1,0.96,45.9,106.6,233.6,1.4,6.5,90.6,205.5,202,222,98,-26.18,519.2,-0.87,1.29,60.4029,6.0403,2.86,12.39,11.78,0.29,1.24,1.18,27.03,2.71,4,evergreen broadleaf
924,S218,Quercus agrifolia - Coast live oak,5/5/2022,SRA-042,,,,Qa,Tree,72.74255382,,,158.8716939,0.005817902,23.53507791,10.6,0.65,1.8,7.4,8.2,0.88,49.5,138.7,208.3,0.9,6.3,158.4,163.8,211.9,224,104.1,,,-2,1.23,60.1075,6.0108,13,12.27,11.23,1.3,1.23,1.12,36.5,3.65,5,evergreen broadleaf
1038,S279,Quercus agrifolia - Coast live oak,5/13/2022,SRA-042,,,,Qa,Tree,41.11969112,,,235.2020757,0.003241893,9.117728327,11.3,0.94,1.67,7.5,7.5,0.82,50.6,100.8,356.7,1,12,110.8,209.8,198.1,214,113.9,-23.9,536.7,-1.04,1.13,61.1744,6.1174,17.37,8.76,68.33,1.74,0.88,6.83,94.46,9.45,5,evergreen broadleaf
1197,S327,Quercus agrifolia - Coast live oak,5/19/2022,SRA-042,,,,Qa,Tree,,,,,,,10.5,0.62,2.2,5.9,9.5,0.87,51.6,182.8,316.6,1.3,6.6,181.8,267.5,167.9,220,118.1,-24.85,520,-0.7,1.22,48.2091,4.8209,10.32,14.45,13.24,1.03,1.45,1.32,38.01,3.8,5,evergreen broadleaf
1325,S341,Quercus agrifolia - Coast live oak,5/26/2022,SRA-042,,,,Qa,Tree,43.04794521,,,145.9759311,0.004556916,6.124773265,11.4,0.73,2.01,9,10.6,0.98,59.8,82.9,356.7,11.6,16.2,85.4,221.2,168,244,128,-24.65,510.8,-1.12,1.34,59.2225,5.9223,14.52,12.93,13.58,1.45,1.29,1.36,41.03,4.1,5,evergreen broadleaf
1504,S360,Quercus agrifolia - Coast live oak,9/16/2022,SRA-042,,,,Qa,Tree,42.95851528,,,174.1294291,0.009001925,7.27941286,10.9,0.77,1.76,9.4,8.4,0.94,55.7,106.5,314.2,12.3,20.1,114.6,223.3,216,206,110,-23.73,508,-1.57,1.3,,,,,,,,,,,9,evergreen broadleaf
240,S54,Quercus douglasii - Blue oak,3/11/2022,SRA-043,,,,Qa,Tree,60.25120773,,,91.67885759,0.008974806,7.713948687,23.6,3.03,1.93,10.6,3,1.36,21.3,44.7,107.9,8,17.5,29.8,238,107.8,72,36.2,-22.51,516.1,-2.5,2.34,130.4169,13.0417,1.61,21.15,15.62,0.16,2.12,1.56,38.38,3.84,3,deciduous broadleaf
276,S107,Quercus douglasii - Blue oak,3/25/2022,SRA-043,,,,Qa,Tree,52.75369709,,,140.8824936,0.006576403,8.731881532,19.6,2.47,1.82,6.9,4.7,1.38,14.2,82.8,190.2,7.5,16.5,69.2,365.4,194,130,84,,,,,140.6978,14.0698,3.32,31.73,24.86,0.33,3.17,2.49,59.91,5.99,3,deciduous broadleaf
297,S138,Quercus douglasii - Blue oak,4/8/2022,SRA-043,,,,Qa,Tree,50.06040892,,,144.2436635,0.007450587,8.02623532,21.6,2.54,2.2,6.2,7.1,1.45,15.9,76.8,254.1,11.5,21.2,60,352.7,209.9,132,74.1,,,,,130.5304,13.053,1.28,0,0,0.13,0,0,1.28,0.13,4,deciduous broadleaf
943,S245,Quercus douglasii - Blue oak,5/13/2022,SRA-043,,,,Qa,Tree,45.32724505,,,161.1385413,0.006687413,7.415723472,18,2.11,2.05,6.9,10.4,1.2,16.8,133,356.2,3.5,12.7,140.5,767.9,182.2,114,73.8,-23.32,521.4,-1.82,2.04,120.0785,12.0078,0,38.75,27.78,0,3.87,2.78,66.53,6.65,5,deciduous broadleaf
1508,S426,Quercus douglasii - Blue oak,9/16/2022,SRA-043,,,,Qa,Tree,40.93131058,,,150.9402747,0.009286455,5.805895102,13.6,3.63,2.43,5.9,16.4,1.09,69.7,273.4,476.5,3.4,13.6,275.5,538.8,181.8,106,68.2,-23.77,483.7,-1.88,1.66,103.5786,10.3579,9.39,23.59,13.57,0.94,2.36,1.36,46.55,4.66,9,deciduous broadleaf
1509,S426,Quercus douglasii - Blue oak,9/16/2022,SRA-043,full senescence,,,Qa,Tree,29.63202066,,,139.4267282,0.007817726,3.259102035,9.5,3.17,2.57,6.5,17.5,0.91,61.6,427.1,485.3,3.6,12.4,432.6,854.4,180.1,126,83.9,-23.94,487.8,-2.41,1.25,110.5703,11.057,0,21.27,13.12,0,2.13,1.31,34.39,3.44,9,deciduous broadleaf
249,S68,Quercus douglasii - Blue oak,3/11/2022,SRA-044,,,,Qa,Tree,64.82018927,,,83.08945395,0.00671084,8.498229097,23.6,4.34,1.42,11.9,4.7,1.5,30.5,43.5,77.3,7.6,21.7,29.8,212.1,160.2,76,39.8,,,,,,,,,,,,,,,3,deciduous broadleaf
277,S108,Quercus douglasii - Blue oak,3/25/2022,SRA-044,,,,Qa,Tree,56.9023569,,,112.4848698,0.006827585,8.243973337,23.6,3.7,1.6,11.7,4.5,1.6,23.6,35.2,82.2,9.8,22.2,19,127.5,214,134,62,,,,,135.3156,13.5316,0,34.69,22.6,0,3.47,2.26,57.29,5.73,3,deciduous broadleaf
294,S134,Quercus douglasii - Blue oak,4/8/2022,SRA-044,,,,Qa,Tree,49.80895522,,,134.494992,0.00625079,7.408888231,21.5,2.4,1.3,8.7,5.5,1.2,18.6,34.9,65.7,10.5,16.5,21.5,124.5,204,128,68,,,,,113.9823,11.3982,1.29,0,3.03,0.13,0,0.3,4.32,0.43,4,deciduous broadleaf
938,S237,Quercus douglasii - Blue oak,5/13/2022,SRA-044,,,,Qa,Tree,43.97005988,,,154.9309514,0.006039465,6.749021631,19.8,2.09,1.29,7,7.7,1.13,22.9,52,85.3,2.6,11.8,48.2,264,187.9,128,64.1,-24.6,499,-2.81,2.04,123.6979,12.3698,0,22.29,15.35,0,2.23,1.53,37.64,3.76,5,deciduous broadleaf
1510,S363,Quercus douglasii - Blue oak,9/16/2022,SRA-044,,,,Qa,Tree,35.92929293,,,128.0362599,0.009908131,3.985546374,9.1,3.04,1.55,9.2,13.1,1.09,65.1,144.2,138.5,2.7,14.2,151.4,303.3,164.1,122,59.9,-24.09,493,-2.29,1.34,96.8784,9.6878,1.61,21.09,9.32,0.16,2.11,0.93,32.02,3.2,9,deciduous broadleaf
242,S57,Quercus douglasii - Blue oak,3/11/2022,SRA-045,,,,QTp,Tree,54.87582177,,,122.4247294,0.010091915,8.264310337,19.4,2.53,1.73,7.5,3.7,1.58,15.7,67.5,59.9,8.2,12.1,56.5,431.5,178,146,64,-23.26,507.7,-2.79,2.01,126.1006,12.6101,0,41.19,33.4,0,4.12,3.34,74.59,7.46,3,deciduous broadleaf
279,S111,Quercus douglasii - Blue oak,3/25/2022,SRA-045,,,,QTp,Tree,50.67385445,,,114.6474651,0.007980988,6.537880072,22.8,2.56,2.11,6.8,5.8,1.6,16.1,75.7,76.1,7.7,13.5,66.8,589.6,201.7,172,92.3,,,,,113.6307,11.3631,1.65,29.86,21.91,0.16,2.99,2.19,53.42,5.34,3,deciduous broadleaf
293,S132,Quercus douglasii - Blue oak,4/8/2022,SRA-045,,,,QTp,Tree,48.94542091,,,136.9219827,0.008061525,7.286454886,22.4,2.72,2.41,6.9,6.9,1.51,28.1,52.3,89,7.6,12.4,37.4,418.9,201.9,158,86.1,,,,,118.8325,11.8833,0,0,3.1,0,0,0.31,3.1,0.31,4,deciduous broadleaf
942,S243,Quercus douglasii - Blue oak,5/13/2022,SRA-045,,,,QTp,Tree,45.19301471,,,147.9637141,0.008060084,6.772614509,18.8,2.9,2.48,7,8.8,1.45,22.3,229.5,114,4.6,14.6,214.8,1262.6,172.1,164,75.9,-24.51,,-2.57,,122.9769,12.2977,0,22.27,14.37,0,2.23,1.44,36.64,3.67,5,deciduous broadleaf
1512,S366,Quercus douglasii - Blue oak,9/16/2022,SRA-045,,,,QTp,Tree,43.38273435,,,153.7911514,0.009936202,6.541315737,15.1,3.92,2.26,5.9,10.2,1.12,78.4,184.5,82,11.1,16.3,180.3,311.9,198,120,70,-24.33,501.4,-2.26,2.03,102.4898,10.249,3.67,19.77,11.87,0.37,1.98,1.19,35.31,3.54,9,deciduous broadleaf
659,S171,Quercus douglasii - Blue oak,4/9/2022,SRA-046,,,,QTp,Tree,56.31498136,,,125.8197502,0.015828993,9.003388104,17.8,2.99,3.52,9.2,5.3,1.31,17.5,69.7,37.8,8.7,20.8,33.5,128.6,171.9,124,110.1,,,,,118.4833,11.8483,6.1,25.8,15.54,0.61,2.58,1.55,47.44,4.74,4,deciduous broadleaf
1048,S288,Quercus douglasii - Blue oak,5/13/2022,SRA-046,,,,QTp,Tree,47.04661017,,,165.6696392,0.007543325,8.170398327,19.7,3.25,1.9,9.5,8.7,1.24,26.2,84.9,81.7,4.3,10.9,71.6,290.7,199.9,166,90.1,-24.51,530.9,-1.17,2.28,115.1436,11.5144,1.82,14.85,11.54,0.18,1.49,1.15,28.21,2.82,5,deciduous broadleaf
1524,S383,Quercus douglasii - Blue oak,9/16/2022,SRA-046,,,,QTp,Tree,44.30519481,,,168.2038775,0.010198338,7.427483537,14.3,3.68,1.7,7,12,0.97,52,111.8,84.3,3.4,10.5,118.4,368.6,192.1,126,71.9,-24.66,488.9,-1.96,1.69,130.1409,13.0141,1.71,16.42,12.99,0.17,1.64,1.3,31.12,3.11,9,deciduous broadleaf
232,S42,Quercus douglasii - Blue oak,3/11/2022,SRA-047,,,,QTp,Tree,57.74442191,,,106.6110394,0.009770095,8.087120259,22.7,2.84,2.05,15.9,5.2,1.04,37.3,105.8,63.9,7.5,7.8,99.6,320.2,216,96,46,-23.6,508.5,-2.45,2.34,108.9237,10.8924,20.74,41.72,34.66,2.07,4.17,3.47,97.12,9.71,3,deciduous broadleaf
288,S125,Quercus douglasii - Blue oak,4/9/2022,SRA-047,,,,QTp,Tree,50.74796748,,,143.9185647,0.006313987,8.231463334,22.5,3.18,3.45,9.5,10.1,1.43,28.3,37.7,116.4,9.4,19.1,24,198.6,224.1,144,87.9,,,,,94.3268,9.4327,1.49,18.84,18.31,0.15,1.88,1.83,38.64,3.86,4,deciduous broadleaf
1076,S311,Quercus douglasii - Blue oak,5/13/2022,SRA-047,,,,QTp,Tree,45.69452131,,,157.7906843,0.006218998,7.370001545,21.7,3.03,3.87,8.2,10,1.3,26.2,104.4,95,6.4,16,97.5,386.2,192.1,140,81.9,,,,,100.8848,10.0885,2.34,27.22,38.49,0.23,2.72,3.85,68.05,6.8,5,deciduous broadleaf
1525,S384,Quercus douglasii - Blue oak,9/16/2022,SRA-047,,,,QTp,Tree,44.75529584,,,151.61908,0.009976317,6.818257055,17,2.78,3.99,6.1,14.2,1.27,75.2,188.6,142.1,3.6,12.6,197.7,319,199.9,116,64.1,-25.53,488.1,-5,1.87,112.7269,11.2727,2.18,22.95,11.19,0.22,2.3,1.12,36.32,3.64,9,deciduous broadleaf
227,S35,Quercus douglasii - Blue oak,3/11/2022,SRA-048,,,,QTp,Tree,54.55972696,,,121.7813409,0.010932709,8.116667234,25.2,1.98,3.02,33.7,4.5,1.75,5,50,51.4,7.5,26.2,14.9,1173.5,235.9,134,62.1,-22.14,504.4,-2.67,2.7,107.5023,10.7502,8.76,38.96,23.09,0.88,3.9,2.31,70.81,7.09,3,deciduous broadleaf
676,S182,Quercus douglasii - Blue oak,4/9/2022,SRA-048,,,,QTp,Tree,48.98100973,,,146.7230771,0.00750734,7.819158823,23.1,2.81,1.91,6.3,5.8,1.32,23,36.8,131.6,10.4,20.1,22.2,228.8,233.9,154,76.1,-21.38,509,-3.97,2.29,99.032,9.9032,0.97,10.81,40.36,0.1,1.08,4.04,52.14,5.22,4,deciduous broadleaf
1052,S293,Quercus douglasii - Blue oak,5/13/2022,SRA-048,,,,QTp,Tree,43.58417378,,,145.4596855,0.004999323,6.237868891,19.7,2.58,2.24,5.6,7.4,1.3,30.1,63.1,139.9,4.2,15.3,49.1,193.6,220.1,148,77.9,-22.985,519.75,-2.095,2.035,87.0481,8.7048,4.94,29.34,9.95,0.49,2.93,1,44.23,4.42,5,deciduous broadleaf
1529,S390,Quercus douglasii - Blue oak,9/16/2022,SRA-048,,,,QTp,Tree,42.92422625,,,135.9963637,0.011797374,5.677324232,17.6,3.45,3.31,4.5,14.7,1.24,110.6,154.7,313.1,2.9,13.6,147.8,240.4,183.8,118,66.2,-23.41,491,-2.78,2.04,125.1028,12.5103,1.48,21.01,15.92,0.15,2.1,1.59,38.41,3.84,9,deciduous broadleaf
222,S27,Quercus agrifolia - Coast live oak,3/11/2022,SRA-049,,,,QTp,Tree,51.08559499,,,121.4618018,0.007716006,7.041531616,23.2,2.84,5.65,42.9,15.7,5.95,92.3,81,111.3,3.4,25.7,35.2,1853.3,227.9,160,62.1,,,,,86.7265,8.6727,5.19,0,0,0.52,0,0,5.19,0.52,3,evergreen broadleaf
660,S173,Quercus agrifolia - Coast live oak,4/9/2022,SRA-049,,,,QTp,Tree,46.53577661,,,186.3765523,0.006574861,9.004937659,14.6,1.54,2.98,6,3.7,1.12,29.9,45.4,76.9,5.5,15.8,32.7,150.2,215.7,236,116.3,,,,,84.9625,8.4963,5.11,11.7,10.72,0.51,1.17,1.07,27.53,2.75,4,evergreen broadleaf
1056,S299,Quercus agrifolia - Coast live oak,5/13/2022,SRA-049,,,,QTp,Tree,38.01786328,,,156.4707129,0.011531231,5.327457032,14.8,0.91,3.24,4.1,5.9,1.03,29.7,120,96.8,2.9,13.5,126.5,207,179.9,220,136.1,-24.62,533.1,-3.66,1.42,93.8334,9.3833,7.13,11.12,23.86,0.71,1.11,2.39,42.11,4.21,5,evergreen broadleaf
1533,S396,Quercus agrifolia - Coast live oak,9/16/2022,SRA-049,,,,QTp,Tree,42.47920133,,,162.3521549,0.01064661,6.655416303,12.7,0.99,4.03,3.5,7.1,1.1,41,146.6,104,2.9,13.3,170.7,220.1,221.9,176,102.1,-23.07,515,-2.96,1.56,108.5507,10.8551,12.78,14.84,17.93,1.28,1.48,1.79,45.55,4.55,9,evergreen broadleaf
